Manitoba,Murder second degree,Actual incidents,33.0,37.0,21.0,35.0,33.0
Manitoba,Murder second degree,Rate per 100000 population,2.74,3.03,1.7,2.8,2.6
Manitoba,Manslaughter,Actual incidents,7.0,10.0,13.0,9.0,13.0
Manitoba,Manslaughter,Rate per 100000 population,0.58,0.82,1.05,0.72,1.03
Manitoba,Infanticide,Actual incidents,0.0,0.0,0.0,0.0,0.0
Manitoba,Infanticide,Rate per 100000 population,0.0,0.0,0.0,0.0,0.0
Saskatchewan,Homicide,Actual incidents,30.0,36.0,34.0,38.0,29.0
Saskatchewan,Homicide,Rate per 100000 population,2.96,3.5,3.26,3.59,2.69
Saskatchewan,Murder first degree,Actual incidents,4.0,5.0,9.0,11.0,9.0
Saskatchewan,Murder first degree,Rate per 100000 population,0.39,0.49,0.86,1.04,0.83
Saskatchewan,Murder second degree,Actual incidents,19.0,22.0,21.0,20.0,17.0
Saskatchewan,Murder second degree,Rate per 100000 population,1.87,2.14,2.01,1.89,1.57
Saskatchewan,Manslaughter,Actual incidents,7.0,9.0,3.0,7.0,3.0
Saskatchewan,Manslaughter,Rate per 100000 population,0.69,0.87,0.29,0.66,0.28
Saskatchewan,Infanticide,Actual incidents,0.0,0.0,0.0,1.0,0.0
Saskatchewan,Infanticide,Rate per 100000 population,0.0,0.0,0.0,0.1,0.0
Alberta,Homicide,Actual incidents,110.0,95.0,77.0,109.0,85.0
Alberta,Homicide,Rate per 100000 population,3.06,2.59,2.07,2.89,2.19
Alberta,Murder first degree,Actual incidents,57.0,37.0,27.0,42.0,28.0
Alberta,Murder first degree,Rate per 100000 population,1.59,1.01,0.73,1.11,0.72
Alberta,Murder second degree,Actual incidents,46.0,45.0,42.0,56.0,44.0
Alberta,Murder second degree,Rate per 100000 population,1.28,1.23,1.13,1.48,1.14
Alberta,Manslaughter,Actual incidents,7.0,13.0,7.0,11.0,13.0
Alberta,Manslaughter,Rate per 100000 population,0.19,0.35,0.19,0.29,0.34
Alberta,Infanticide,Actual incidents,0.0,0.0,1.0,0.0,0.0
Alberta,Infanticide,Rate per 100000 population,0.0,0.0,0.03,0.0,0.0
British Columbia,Homicide,Actual incidents,117.0,118.0,83.0,87.0,71.0
British Columbia,Homicide,Rate per 100000 population,2.67,2.65,1.83,1.9,1.54
British Columbia,Murder first degree,Actual incidents,62.0,57.0,39.0,40.0,28.0
British Columbia,Murder first degree,Rate per 100000 population,1.41,1.28,0.86,0.87,0.61
British Columbia,Murder second degree,Actual incidents,44.0,49.0,36.0,36.0,31.0
British Columbia,Murder second degree,Rate per 100000 population,1.0,1.1,0.79,0.79,0.67
British Columbia,Manslaughter,Actual incidents,11.0,12.0,7.0,11.0,12.0
British Columbia,Manslaughter,Rate per 100000 population,0.25,0.27,0.15,0.24,0.26
British Columbia,Infanticide,Actual incidents,0.0,0.0,1.0,0.0,0.0
British Columbia,Infanticide,Rate per 100000 population,0.0,0.0,0.02,0.0,0.0
Yukon,Homicide,Actual incidents,3.0,2.0,1.0,0.0,0.0
Yukon,Homicide,Rate per 100000 population,9.06,5.93,2.89,0.0,0.0
Yukon,Murder first degree,Actual incidents,0.0,0.0,1.0,0.0,0.0
Yukon,Murder first degree,Rate per 100000 population,0.0,0.0,2.89,0.0,0.0
Yukon,Murder second degree,Actual incidents,3.0,1.0,0.0,0.0,0.0
Yukon,Murder second degree,Rate per 100000 population,9.06,2.96,0.0,0.0,0.0
Yukon,Manslaughter,Actual incidents,0.0,1.0,0.0,0.0,0.0
Yukon,Manslaughter,Rate per 100000 population,0.0,2.96,0.0,0.0,0.0
Yukon,Infanticide,Actual incidents,0.0,0.0,0.0,0.0,0.0
Yukon,Infanticide,Rate per 100000 population,0.0,0.0,0.0,0.0,0.0
Northwest Territories,Homicide,Actual incidents,3.0,2.0,1.0,3.0,5.0
Northwest Territories,Homicide,Rate per 100000 population,6.87,4.58,2.28,6.79,11.53
Northwest Territories,Murder first degree,Actual incidents,0.0,0.0,0.0,1.0,1.0
Northwest Territories,Murder first degree,Rate per 100000 population,0.0,0.0,0.0,2.26,2.31
Northwest Territories,Murder second degree,Actual incidents,2.0,2.0,0.0,1.0,3.0
Northwest Territories,Murder second degree,Rate per 100000 population,4.58,4.58,0,2.26,6.92
Northwest Territories,Manslaughter,Actual incidents,1.0,0.0,1.0,1.0,1.0
Northwest Territories,Manslaughter,Rate per 100000 population,2.29,0.0,2.28,2.26,2.31
Northwest Territories,Infanticide,Actual incidents,0.0,0.0,0.0,0.0,0.0
Northwest Territories,Infanticide,Rate per 100000 population,0.0,0.0,0.0,0.0,0.0
Nunavut,Homicide,Actual incidents,4.0,6.0,6.0,7.0,5.0
Nunavut,Homicide,Rate per 100000 population,12.65,18.64,18.28,20.86,14.84
Nunavut,Murder first degree,Actual incidents,0.0,1.0,0.0,0.0,4.0
Nunavut,Murder first degree,Rate per 100000 population,0.0,3.11,0.0,0.0,11.87
Nunavut,Murder second degree,Actual incidents,3.0,3.0,5.0,6.0,0.0
Nunavut,Murder second degree,Rate per 100000 population,9.49,9.32,15.23,17.88,0.0
Nunavut,Manslaughter,Actual incidents,1.0,2.0,1.0,1.0,1.0
Nunavut,Manslaughter,Rate per 100000 population,3.16,6.21,3.05,2.98,2.97
Nunavut,Infanticide,Actual incidents,0.0,0.0,0.0,0.0,0.0
Nunavut,Infanticide,Rate per 100000 population,0.0,0.0,0.0,0.0,0.0
