Nova Scotia,Driving while prohibited,203,238,215,212,185
Nova Scotia,Other Criminal Code traffic violations,6,1,3,2,3
Nova Scotia,Causing death by criminal negligence while street racing,0,0,0,0,0
Nova Scotia,Causing bodily harm by criminal negligence while street racing,0,0,0,0,0
Nova Scotia,Dangerous operation causing death while street racing,0,0,0,0,0
Nova Scotia,Dangerous operation causing bodily harm while street racing,0,0,0,0,0
Nova Scotia,Dangerous operation of motor vehicle while street racing,7,10,9,11,31
New Brunswick,Total all violations,48594,47975,47735,45809,47559
New Brunswick,Total Criminal Code traffic violations,3419,3192,3422,3025,2898
New Brunswick,Total impaired driving ,2719,2417,2639,2252,2176
New Brunswick,Impaired operation causing death,3,2,6,7,8
New Brunswick,Impaired operation (drugs) causing death,0,0,0,0,0
New Brunswick,Impaired operation causing bodily harm,23,17,17,21,12
New Brunswick,Impaired operation (drugs) causing bodily harm,0,0,0,2,1
New Brunswick,Impaired operation of motor vehicle vessel or aircraft ,2488,2115,2402,1997,1925
New Brunswick,Impaired operation (drugs) vehicle vessel aircraft,27,104,53,81,61
New Brunswick,Impaired operation failure to provide breath sample,166,165,151,134,163
New Brunswick,Failure to comply or refusal (drugs),1,3,6,2,0
New Brunswick,Impaired operation failure to provide blood sample,10,10,4,8,6
New Brunswick,Failure to provide blood sample (drugs),1,1,0,0,0
New Brunswick,Total other Criminal Code traffic violations,700,775,783,773,722
New Brunswick,Dangerous operation causing death,2,0,2,3,0
New Brunswick,Dangerous operation causing bodily harm,10,15,9,11,7
New Brunswick,Dangerous operation of motor vehicle vessel or aircraft,218,235,236,189,148
New Brunswick,Dangerous operation evading police causing death,0,0,0,0,0
New Brunswick,Dangerous operation evading police causing bodily harm,0,0,1,0,4
New Brunswick,Dangerous operation of motor vehicle evading police,50,57,51,55,68
New Brunswick,Total fail to stop or remain ,253,261,260,288,283
New Brunswick,Driving while prohibited,157,193,204,212,204
New Brunswick,Other Criminal Code traffic violations,4,2,4,7,3
New Brunswick,Causing death by criminal negligence while street racing,0,0,0,0,0
New Brunswick,Causing bodily harm by criminal negligence while street racing,0,0,0,0,0
New Brunswick,Dangerous operation causing death while street racing,0,0,2,0,0
New Brunswick,Dangerous operation causing bodily harm while street racing,0,1,1,0,0
New Brunswick,Dangerous operation of motor vehicle while street racing,6,11,13,8,5
Quebec ,Total all violations,461175,457412,440303,424040,416135
Quebec ,Total Criminal Code traffic violations,41738,41347,40068,41103,41822
Quebec ,Total impaired driving ,16378,16507,16328,16804,16575
Quebec ,Impaired operation causing death,52,50,51,26,15
Quebec ,Impaired operation (drugs) causing death,0,1,2,0,0
Quebec ,Impaired operation causing bodily harm,366,367,339,344,298
Quebec ,Impaired operation (drugs) causing bodily harm,1,2,6,6,4
Quebec ,Impaired operation of motor vehicle vessel or aircraft ,15292,15295,15354,16047,15755
Quebec ,Impaired operation (drugs) vehicle vessel aircraft,2,71,132,270,416
Quebec ,Impaired operation failure to provide breath sample,630,697,430,111,84
Quebec ,Failure to comply or refusal (drugs),0,0,3,0,2
Quebec ,Impaired operation failure to provide blood sample,35,23,10,0,1
Quebec ,Failure to provide blood sample (drugs),0,1,1,0,0
Quebec ,Total other Criminal Code traffic violations,25360,24840,23740,24299,25247
Quebec ,Dangerous operation causing death,25,32,29,13,12
Quebec ,Dangerous operation causing bodily harm,121,146,156,167,147
Quebec ,Dangerous operation of motor vehicle vessel or aircraft,1015,1093,1085,919,958
Quebec ,Dangerous operation evading police causing death,1,2,0,0,1
Quebec ,Dangerous operation evading police causing bodily harm,12,17,17,11,14
Quebec ,Dangerous operation of motor vehicle evading police,532,502,611,649,575
Quebec ,Total fail to stop or remain ,22183,21605,20439,21186,22226
Quebec ,Driving while prohibited,1374,1363,1335,1262,1231
Quebec ,Other Criminal Code traffic violations,86,67,54,70,61
Quebec ,Causing death by criminal negligence while street racing,0,0,1,0,1
Quebec ,Causing bodily harm by criminal negligence while street racing,2,2,1,0,2
Quebec ,Dangerous operation causing death while street racing,0,2,1,0,0
Quebec ,Dangerous operation causing bodily harm while street racing,2,2,0,1,2
Quebec ,Dangerous operation of motor vehicle while street racing,7,7,11,21,17
Ontario ,Total all violations,705715,690180,666393,636172,617265
Ontario ,Total Criminal Code traffic violations,34108,34184,32821,33014,32185
Ontario ,Total impaired driving ,18752,18207,17269,17230,17169
Ontario ,Impaired operation causing death,35,26,26,22,22
Ontario ,Impaired operation (drugs) causing death,0,0,2,1,1
Ontario ,Impaired operation causing bodily harm,128,110,90,99,89
Ontario ,Impaired operation (drugs) causing bodily harm,2,1,2,1,3
Ontario ,Impaired operation of motor vehicle vessel or aircraft ,17475,16663,15686,15710,15737
Ontario ,Impaired operation (drugs) vehicle vessel aircraft,84,324,347,322,300
Ontario ,Impaired operation failure to provide breath sample,998,1058,1089,1060,998
Ontario ,Failure to comply or refusal (drugs),2,6,6,3,8
Ontario ,Impaired operation failure to provide blood sample,28,17,19,10,6
Ontario ,Failure to provide blood sample (drugs),0,2,2,2,5
Ontario ,Total other Criminal Code traffic violations,15356,15977,15552,15784,15016
Ontario ,Dangerous operation causing death,26,29,24,22,11
Ontario ,Dangerous operation causing bodily harm,157,140,146,113,133
Ontario ,Dangerous operation of motor vehicle vessel or aircraft,2672,2454,2357,2249,2296
Ontario ,Dangerous operation evading police causing death,1,1,0,0,0
Ontario ,Dangerous operation evading police causing bodily harm,7,9,8,6,7
Ontario ,Dangerous operation of motor vehicle evading police,606,418,417,370,406
Ontario ,Total fail to stop or remain ,10210,11027,10514,10925,10317
Ontario ,Driving while prohibited,1527,1742,1882,1937,1666
Ontario ,Other Criminal Code traffic violations,133,129,166,126,141
Ontario ,Causing death by criminal negligence while street racing,1,0,2,0,0
Ontario ,Causing bodily harm by criminal negligence while street racing,0,0,0,1,0
Ontario ,Dangerous operation causing death while street racing,0,0,1,0,1
Ontario ,Dangerous operation causing bodily harm while street racing,2,2,3,0,2
Ontario ,Dangerous operation of motor vehicle while street racing,14,26,32,35,36
Manitoba,Total all violations,128193,137283,130027,121719,121471
Manitoba,Total Criminal Code traffic violations,4002,4764,4855,5132,5019
Manitoba,Total impaired driving ,3027,3669,3722,3983,3761
Manitoba,Impaired operation causing death,11,8,11,16,17
Manitoba,Impaired operation (drugs) causing death,0,1,0,0,0
